price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
18100000.0,10.0,12032,-1,6286705989,10,1,True,2022-07-06 06:39:50.000,90,60003760,10000002,30000142,0,
17170000.0,9.0,12032,5,6287742742,10,1,True,2022-07-07 03:39:01.000,90,1028858195912,10000002,30000144,1,
17160000.0,20.0,12032,1,6294159390,20,1,True,2022-07-05 11:38:09.000,90,1028858195912,10000002,30000144,1,
17080000.0,2.0,12032,1,6294392217,2,1,True,2022-07-04 17:49:42.000,90,1028858195912,10000002,30000144,1,
16370000.0,3.0,12032,-1,6288523176,5,1,True,2022-07-02 20:52:06.000,90,60003760,10000002,30000142,0,
16060000.0,5.0,12032,1,6290088623,5,1,True,2022-06-27 14:34:13.000,90,60003760,10000002,30000142,0,
15680000.0,4.0,12032,1,6287025004,5,1,True,2022-06-23 16:14:52.000,90,1028858195912,10000002,30000144,1,
15620000.0,5.0,12032,-1,6287101830,5,1,True,2022-06-22 20:43:48.000,90,60003760,10000002,30000142,0,
15450000.0,2.0,12032,1,6267818716,2,1,True,2022-05-24 19:17:05.000,90,1028858195912,10000002,30000144,1,
15440000.0,5.0,12032,-1,6256814235,5,1,True,2022-05-09 07:45:19.000,90,60003760,10000002,30000142,0,
15370000.0,22.0,12032,1,6283201118,22,1,True,2022-06-16 20:19:46.000,90,1028858195912,10000002,30000144,1,
15350000.0,16.0,12032,1,6247499063,35,1,True,2022-04-25 17:42:18.000,90,1028858195912,10000002,30000144,1,
15320000.0,6.0,12032,-1,6254272685,6,1,True,2022-05-05 20:57:06.000,90,60003760,10000002,30000142,0,
15310000.0,10.0,12032,-1,6253849394,10,1,True,2022-05-05 06:42:29.000,90,60003760,10000002,30000142,0,
7000000.0,2.0,12032,32767,6287361307,3,1,True,2022-06-23 09:00:31.000,90,1028858195912,10000002,30000144,1,
1869000.0,20.0,12032,32767,6289794340,20,1,True,2022-06-27 00:22:49.000,90,60003760,10000002,30000142,0,
29990.0,20.0,12032,10,6288187894,20,1,True,2022-06-24 17:19:05.000,90,60003760,10000002,30000142,0,
